"","A","B","R","Q","C","CAU","AFA","HIS","API"
"1",1,7,1,5,10,0,3e-04,0,0
"2",1,7,2,2,8,0.000167,0,0,0
"3",1,7,4,1,7,0,0,0,0.002155
"4",1,7,4,2,6,0.000167,0,0,0
"5",1,7,4,5,7,0.000431,0,0,0
"6",1,7,4,6,7,0.000722,0,0,0
"7",1,7,4,7,7,0,3e-04,0,0
"8",1,7,4,8,6,0.000167,0,0,0
"9",1,7,7,6,5,0.000333,0,0,0
"10",1,7,9,2,7,0,3e-04,0,0
"11",1,7,9,3,2,0.000167,0,0,0
"12",1,7,9,6,2,0.000167,0,0,0
"13",1,7,11,6,4,0.000333,0,0,0
"14",1,7,11,7,7,0.000183,0,0,0
"15",1,7,12,3,3,0,0,0.00035,0
"16",1,7,13,3,1,0,0,0.00035,0
"17",1,7,13,7,7,0,6e-04,0,0
"18",1,7,13,9,16,0.000167,0,0,0
"19",1,7,14,1,4,0,3e-04,0,0
"20",1,7,14,8,7,0.000167,0,0,0
"21",1,7,15,1,5,0.000204,0,0,0
"22",1,7,15,2,4,0.000506,0,0,0
"23",1,7,15,2,6,5e-04,0,0,0
"24",1,7,15,2,9,0.000167,0,0,0
"25",1,7,15,2,10,0.000667,0,0,0
"26",1,7,15,4,4,0.000167,0,0,0
"27",1,7,15,5,4,0.00034,0,0,0
"28",1,7,15,5,7,0.001014,0,0,0
"29",1,7,15,6,1,0.000167,0,0,0
"30",1,7,15,6,7,0.000167,6e-04,0,0
"31",1,7,15,6,15,0,6e-04,0,0
"32",1,7,15,7,7,0.000167,0,0,0
"33",1,7,15,7,16,0.000167,0,0,0
"34",1,7,17,5,3,0.000167,0,0,0
"35",1,7,18,4,9,0,3e-04,0,0
"36",1,7,103,1,5,0.000167,0,0,0
"37",1,7,103,6,12,0.000167,0,0,0
"38",1,8,1,1,5,0.000333,0,0,0
"39",1,8,1,2,3,0.000167,0,0,0
"40",1,8,1,2,4,0.000295,0,0,0
"41",1,8,1,2,6,0.000256,0,0,0
"42",1,8,1,5,2,0.000229,0,0,0
"43",1,8,1,5,7,0,0.001871,0,0
"44",1,8,1,6,2,0.000105,0,0,0
"45",1,8,1,6,6,0.000167,0,0,0
"46",1,8,1,6,12,0.000167,0,0,0
"47",1,8,1,7,4,7.4e-05,0,0,0
"48",1,8,1,7,7,0.000874,0,0,0
"49",1,8,1,8,2,0.000167,0,0,0
"50",1,8,1,8,10,0.000131,0,0,0
"51",1,8,3,1,7,0.000333,0,0,0
"52",1,8,3,2,14,0.000167,0,0,0
"53",1,8,3,3,7,0,6e-04,0,0
"54",1,8,3,5,4,0.000167,0,0,0
"55",1,8,3,7,5,5e-04,0,0,0
"56",1,8,3,8,7,0.000167,0,0,0
"57",1,8,4,2,7,0.000837,0,0,0
"58",1,8,4,2,9,0.000187,0,0,0
"59",1,8,4,4,3,0.000333,0,0,0
"60",1,8,4,5,5,0.000167,0,0,0
"61",1,8,4,6,7,0.001537,0,0,0
"62",1,8,4,7,1,0.000167,0,0,0
"63",1,8,4,7,6,0.000333,0,0,0
"64",1,8,4,7,14,0.000167,0,0,0
"65",1,8,4,8,7,0.000167,0,0.000703,0
"66",1,8,4,9,7,0.000167,0,0,0
"67",1,8,7,1,2,0.000333,0,0,0
"68",1,8,7,2,2,0,3e-04,0,0
"69",1,8,7,2,7,0,3e-04,0,0
"70",1,8,7,2,9,0.000135,0,0,0
"71",1,8,7,2,12,0.000177,0,0,0
"72",1,8,7,5,5,0.000341,0,0,0
"73",1,8,7,6,4,0.000177,0,0,0
"74",1,8,7,6,5,0.000167,0,0,0
"75",1,8,7,6,6,0.000356,0,0,0
"76",1,8,7,6,9,0.000178,0,0,0
"77",1,8,7,8,7,0.000667,0,0,0
"78",1,8,7,9,4,0.000467,0,0,0
"79",1,8,7,9,7,0,3e-04,0,0
"80",1,8,7,9,10,0.000167,0,0,0
"81",1,8,8,1,7,0.000167,0,0,0
"82",1,8,8,7,6,0.000167,0,0,0
"83",1,8,8,9,2,0.000167,0,0,0
"84",1,8,11,1,6,0.000167,0,0,0
"85",1,8,11,1,7,0.000173,0,0,0
"86",1,8,11,2,10,0.000167,0,0,0
"87",1,8,11,3,4,0.000167,0,0,0
"88",1,8,11,7,2,0.000167,0,0,0
"89",1,8,11,7,7,0,0.000609,0,0
"90",1,8,11,8,5,0.000167,0,0,0
"91",1,8,12,6,5,0.000167,0,0,0
"92",1,8,12,7,3,0.000167,0,0,0
"93",1,8,13,2,2,0.000667,0,0,0
"94",1,8,13,2,7,0.000511,0,0,0
"95",1,8,13,5,2,0.000167,0,0,0
"96",1,8,13,5,7,0.000778,0.000309,0,0
"97",1,8,13,6,4,0.000167,0,0,0
"98",1,8,13,6,7,0,0.000322,0.002607,0
"99",1,8,13,6,14,0.000167,0,0,0
"100",1,8,13,6,17,0.000333,0,0,0
"101",1,8,13,8,10,0.000333,0,0,0
"102",1,8,14,5,7,0,0,0.00035,0
"103",1,8,14,6,10,0.000333,0,0,0
"104",1,8,14,7,4,0.000167,0,0,0
"105",1,8,15,2,2,0.000265,0,0,0
"106",1,8,15,2,6,0.000333,0,0,0
"107",1,8,15,2,7,0.000343,0,0,0
"108",1,8,15,3,6,0.000167,0,0,0
"109",1,8,15,6,2,6.8e-05,0,0,0
"110",1,8,15,6,7,0.000167,0,0.000358,0
"111",1,8,15,6,10,0.000167,0,0.000343,0
"112",1,8,15,7,5,0.000333,0,0,0
"113",1,8,15,7,7,0.000667,0,0,0
"114",1,8,15,7,8,0.000167,0,0,0
"115",1,8,16,5,7,0.000167,0,0,0
"116",1,8,16,7,5,0.000167,0,0,0
"117",1,8,17,1,4,0.00011,0,0,0
"118",1,8,17,1,5,5e-04,0,0,0
"119",1,8,17,1,6,5e-04,0,0,0
"120",1,8,17,1,7,0.001564,0,0,0
"121",1,8,17,1,12,0.000222,0,0,0
"122",1,8,17,2,4,0.003018,0,0.000351,0
"123",1,8,17,2,5,0.001846,0,0,0
"124",1,8,17,2,6,0.002078,0,0,0
"125",1,8,17,2,7,0.005268,0.007844,0.014453,0
"126",1,8,17,2,9,0.000833,0,0,0
"127",1,8,17,2,10,0.000198,0,0,0
"128",1,8,17,2,15,5e-04,0,0,0
"129",1,8,17,2,16,0.000667,0,0,0
"130",1,8,17,3,2,0.000333,0,0,0
"131",1,8,17,3,5,0.000301,0,0,0
"132",1,8,17,3,6,0.000167,0,0,0
"133",1,8,17,3,7,0.000206,0,0,0
"134",1,8,17,4,2,5e-04,0,0,0
"135",1,8,17,4,6,0.000167,0,0,0
"136",1,8,17,5,2,0.000333,0,0,0
"137",1,8,17,5,4,0.000581,0,0,0
"138",1,8,17,5,5,0.000749,0,0,0
"139",1,8,17,5,6,0.000518,0,0,0
"140",1,8,17,5,7,0.00141,0,0,0
"141",1,8,17,6,1,0.001167,0,0,0
"142",1,8,17,6,3,0.001055,0,0,0
"143",1,8,17,6,4,0.001965,0,0,0
"144",1,8,17,6,5,0.003723,0,0,0
"145",1,8,17,6,7,0.005396,0,0,0
"146",1,8,17,6,8,0.000333,0,0,0
"147",1,8,17,6,10,0.000667,0,0,0
"148",1,8,17,7,1,0.001367,0,0,0
"149",1,8,17,7,3,0.001458,0,0,0
"150",1,8,17,7,4,0.000944,0,0,0
"151",1,8,17,7,5,0.001082,0,0,0
"152",1,8,17,7,6,0.00067,0,0,0
"153",1,8,17,7,7,0.008122,0,0,0
"154",1,8,17,7,9,0.001203,0,0,0
"155",1,8,17,7,10,0.0015,0,0,0
"156",1,8,17,7,15,5e-04,0,0,0
"157",1,8,17,8,3,0.000719,0,0,0
"158",1,8,17,8,4,0.000536,0,0,0
"159",1,8,17,8,6,0.000405,0,0,0
"160",1,8,17,8,7,0.002663,0,0,0
"161",1,8,17,8,10,0.000369,0,0,0
"162",1,8,17,9,1,0.000167,0,0,0
"163",1,8,17,9,6,0.000833,0,0,0
"164",1,8,17,9,7,0.000167,0,0,0
"165",1,8,17,9,12,0.000167,0,0,0
"166",1,8,18,7,4,0.000167,0,0,0
"167",1,13,4,5,16,0.000333,0,0,0
"168",1,13,7,2,6,0,3e-04,0,0
"169",1,13,7,2,7,0.000167,0,0,0
"170",1,13,7,2,16,0.000167,0,0,0
"171",1,13,7,9,3,0.000167,0,0,0
"172",1,13,10,5,6,0,0,0.00035,0
"173",1,13,12,1,6,0,0,0,0.002155
"174",1,13,13,6,6,0,0,0.00035,0
"175",1,14,7,2,6,0,3e-04,0,0
"176",1,14,7,5,12,0.000167,0,0,0
"177",1,15,11,3,2,0,3e-04,0,0
"178",1,17,15,1,7,0,3e-04,0,0
"179",1,18,1,1,5,0,3e-04,0,0
"180",1,18,4,6,7,0.000167,0,0,0
"181",1,18,7,8,8,0.000167,0,0,0
"182",1,18,11,5,2,0.000167,0,0,0
"183",1,18,11,6,2,0.000333,0,0,0
"184",1,18,11,6,4,0.000333,0,0,0
"185",1,18,11,7,3,0.000167,0,0,0
"186",1,18,11,7,12,0.000167,0,0,0
"187",1,18,13,7,10,0,3e-04,0,0
"188",1,18,14,6,6,0.000167,0,0,0
"189",1,18,16,5,5,0,0,0.00035,0
"190",1,18,16,5,7,0,0,0.00035,0
"191",1,18,16,6,7,0.000167,0,0,0
"192",1,18,17,2,3,0.000167,0,0,0
"193",1,27,1,5,2,0,0,0.00035,0
"194",1,27,1,6,6,0.000167,0,0,0
"195",1,27,1,7,1,0.000167,0,0,0
"196",1,27,4,3,9,0.000167,0,0,0
"197",1,27,4,5,5,0.000167,0,0,0
"198",1,27,7,5,7,0.000167,0,0,0
"199",1,27,7,7,9,0.000167,0,0,0
"200",1,27,8,2,4,0.000167,0,0,0
"201",1,27,11,2,2,0.000167,0,0,0
"202",1,27,11,5,2,0.000167,0,0,0
"203",1,27,11,8,7,0.000167,0,0,0
"204",1,27,13,2,8,0.000167,0,0,0
"205",1,27,13,7,2,0,3e-04,0,0
"206",1,27,14,7,10,0.000167,0,0,0
"207",1,27,17,5,6,0.000167,0,0,0
"208",1,35,1,5,4,0,0.001199,0,0
"209",1,35,1,5,6,0.000333,0,0,0
"210",1,35,1,5,8,5e-04,0,0,0
"211",1,35,1,5,15,0.000167,0,0,0
"212",1,35,1,6,5,0.000167,0,0,0
"213",1,35,1,6,6,0.000167,0,0,0
"214",1,35,1,6,9,0.000167,0,0,0
"215",1,35,3,2,4,0,0,0.00035,0
"216",1,35,4,3,9,0.000167,0,0,0
"217",1,35,4,5,7,0.00034,0,0,0
"218",1,35,4,5,10,0.000327,0,0,0
"219",1,35,4,7,4,0.000167,0,0,0
"220",1,35,4,7,10,0.000167,0,0,0
"221",1,35,4,7,17,0.000167,0,0,0
"222",1,35,4,8,1,0,0,0.00035,0
"223",1,35,4,8,4,0,0.000899,0,0
"224",1,35,7,2,4,0,0,0.001402,0
"225",1,35,7,2,5,5e-04,0,0,0
"226",1,35,8,8,3,0.000167,0,0,0
"227",1,35,11,1,4,0,3e-04,0,0
"228",1,35,11,1,5,7.5e-05,0,0,0
"229",1,35,11,2,7,0.000168,0,0,0
"230",1,35,11,3,4,0.000167,0,0,0
"231",1,35,11,5,12,0.000167,0,0,0
"232",1,35,11,5,16,0.000167,0,0,0
"233",1,35,11,6,1,0.000167,0,0,0
"234",1,35,11,6,4,0,0,0.001051,0
"235",1,35,11,6,5,5e-04,0,0,0
"236",1,35,11,7,6,0.000167,0,0.00035,0
"237",1,35,11,7,7,0.000167,0,0,0
"238",1,35,11,7,8,0.000167,0,0,0
"239",1,35,11,8,5,0.000167,0,0,0
"240",1,35,12,7,4,0,6e-04,0,0
"241",1,35,13,1,17,0.000167,0,0,0
"242",1,35,13,2,7,0.000167,0,0,0
"243",1,35,13,3,4,0,0,0.00035,0
"244",1,35,13,3,7,0,0,0.00035,0
"245",1,35,13,5,4,0,3e-04,0,0
"246",1,35,13,6,10,0.000167,0,0,0
"247",1,35,13,6,16,0,6e-04,0,0
"248",1,35,13,7,4,0,6e-04,0,0
"249",1,35,13,7,6,0,0,0.00035,0
"250",1,35,13,8,8,0.000167,0,0,0
"251",1,35,14,2,7,0.000178,0,0,0
"252",1,35,14,7,6,0.000167,0,0,0
"253",1,35,14,7,12,0.000167,0,0,0
"254",1,35,15,3,7,0.000167,0,0,0
"255",1,35,15,5,3,0.000167,0,0,0
"256",1,35,15,6,12,0,0,0,0.002155
"257",1,35,15,7,7,0.000371,0,0,0
"258",1,35,15,9,4,0.000167,0,0,0
"259",1,35,16,1,4,0,0,0.000701,0
"260",1,35,16,5,4,0,0,0.00035,0
"261",1,35,103,5,1,0.000167,0,0,0
"262",1,37,1,1,6,0,3e-04,0,0
"263",1,37,1,5,6,0,3e-04,0.001027,0
"264",1,37,1,5,16,0.000167,0,0,0
"265",1,37,1,6,2,0.000167,0,0,0
"266",1,37,4,2,2,0.000167,0,0,0
"267",1,37,4,2,3,0.000167,0,0,0
"268",1,37,4,2,9,0.000167,0,0,0
"269",1,37,4,5,15,0.000167,0,0,0
"270",1,37,4,7,3,0.000333,0,0,0
